Origin_ID;Origin_NAME;Origin_N_Displ;Origin_N_Receiv;Origin_LAT;Origin_LNG;Destin_ID;Destin_NAME;Destin_N_Displ;Destin_N_Receiv;Destin_LAT;Destin_LNG;Count
20011;AGUACHICA;12964;16171;8.310121;-73.6013;70001;SINCELEJO;7662;144112;9.300455;-75.395996;142
20011;AGUACHICA;12964;16171;8.310121;-73.6013;20517;PAILITAS;10071;3876;8.956043;-73.625399;138
20011;AGUACHICA;12964;16171;8.310121;-73.6013;20228;CURUMANÍ;18067;5168;9.201044;-73.541775;137
20011;AGUACHICA;12964;16171;8.310121;-73.6013;20013;AGUSTÍN CODAZZI;26044;8767;10.040365;-73.237431;133
20011;AGUACHICA;12964;16171;8.310121;-73.6013;20550;PELAYA;8414;3585;8.687891;-73.665913;119
20011;AGUACHICA;12964;16171;8.310121;-73.6013;20770;SAN MARTÍN;3732;2910;8.004398;-73.512983;118
20011;AGUACHICA;12964;16171;8.310121;-73.6013;81001;ARAUCA;8937;19390;7.077995;-70.761888;118
20011;AGUACHICA;12964;16171;8.310121;-73.6013;85001;YOPAL;4917;19675;5.332228;-72.393994;116
20011;AGUACHICA;12964;16171;8.310121;-73.6013;5001;MEDELLÍN;41118;373898;6.248941;-75.577056;113
20011;AGUACHICA;12964;16171;8.310121;-73.6013;20621;ROBLES;9099;5326;10.386468;-73.172691;104
17013;AGUADAS;2150;597;5.610592;-75.454235;66001;PEREIRA;3693;54482;4.807002;-75.718267;330
17013;AGUADAS;2150;597;5.610592;-75.454235;17001;MANIZALES;2766;19398;5.056447;-75.490037;316
17013;AGUADAS;2150;597;5.610592;-75.454235;5001;MEDELLÍN;41118;373898;6.248941;-75.577056;278
17013;AGUADAS;2150;597;5.610592;-75.454235;11001;BOGOTÁ, D.C.;7290;536598;4.650528;-74.105972;140
17013;AGUADAS;2150;597;5.610592;-75.454235;66682;SANTA ROSA DE CABAL;808;4905;4.876509;-75.624074;130
85010;AGUAZUL;4499;2252;5.169985;-72.552585;85001;YOPAL;4917;19675;5.332228;-72.393994;824
85010;AGUAZUL;4499;2252;5.169985;-72.552585;11001;BOGOTÁ, D.C.;7290;536598;4.650528;-74.105972;741
85010;AGUAZUL;4499;2252;5.169985;-72.552585;15759;SOGAMOSO;424;4025;5.724862;-72.923237;710
85010;AGUAZUL;4499;2252;5.169985;-72.552585;50001;VILLAVICENCIO;7725;107365;4.122958;-73.626878;405
20013;AGUSTÍN CODAZZI;26044;8767;10.040365;-73.237431;20001;VALLEDUPAR;32436;83963;10.461893;-73.258517;8600
20013;AGUSTÍN CODAZZI;26044;8767;10.040365;-73.237431;47001;SANTA MARTA;35085;143341;11.225703;-74.188397;1462
20013;AGUSTÍN CODAZZI;26044;8767;10.040365;-73.237431;8001;BARRANQUILLA;5939;117739;10.979459;-74.816835;1278
20013;AGUSTÍN CODAZZI;26044;8767;10.040365;-73.237431;44001;RIOHACHA;12215;39130;11.529125;-72.912271;1271
20013;AGUSTÍN CODAZZI;26044;8767;10.040365;-73.237431;11001;BOGOTÁ, D.C.;7290;536598;4.650528;-74.105972;1249
20013;AGUSTÍN CODAZZI;26044;8767;10.040365;-73.237431;44430;MAICAO;9495;11363;11.378362;-72.241551;803
20013;AGUSTÍN CODAZZI;26044;8767;10.040365;-73.237431;13001;CARTAGENA DE INDIAS;12945;121634;10.398816;-75.501229;699
20013;AGUSTÍN CODAZZI;26044;8767;10.040365;-73.237431;20045;BECERRIL;8944;3160;9.705162;-73.279159;587
20013;AGUSTÍN CODAZZI;26044;8767;10.040365;-73.237431;20750;SAN DIEGO;8597;4475;10.333693;-73.180729;458
20013;AGUSTÍN CODAZZI;26044;8767;10.040365;-73.237431;8758;SOLEDAD;2405;62128;10.90618;-74.793567;457
20013;AGUSTÍN CODAZZI;26044;8767;10.040365;-73.237431;54001;CÚCUTA;16922;91560;7.905267;-72.505591;427
20013;AGUSTÍN CODAZZI;26044;8767;10.040365;-73.237431;20621;ROBLES;9099;5326;10.386468;-73.172691;416
20013;AGUSTÍN CODAZZI;26044;8767;10.040365;-73.237431;68001;BUCARAMANGA;5644;70103;7.115901;-73.132537;339
20013;AGUSTÍN CODAZZI;26044;8767;10.040365;-73.237431;20011;AGUACHICA;12964;16171;8.310121;-73.6013;313
20013;AGUSTÍN CODAZZI;26044;8767;10.040365;-73.237431;20400;LA JAGUA DE IBIRICO;12302;2809;9.562867;-73.335552;311
20013;AGUSTÍN CODAZZI;26044;8767;10.040365;-73.237431;44650;SAN JUAN DEL CESAR;5909;3029;10.770735;-73.001701;307
20013;AGUSTÍN CODAZZI;26044;8767;10.040365;-73.237431;20228;CURUMANÍ;18067;5168;9.201044;-73.541775;288
20013;AGUSTÍN CODAZZI;26044;8767;10.040365;-73.237431;20060;BOSCONIA;7381;11271;9.974372;-73.888042;241
20013;AGUSTÍN CODAZZI;26044;8767;10.040365;-73.237431;73001;IBAGUÉ;10112;75833;4.439631;-75.19635;195
20013;AGUSTÍN CODAZZI;26044;8767;10.040365;-73.237431;20250;EL PASO;5079;2635;9.661878;-73.746454;176
20013;AGUSTÍN CODAZZI;26044;8767;10.040365;-73.237431;20178;CHIRIGUANÁ;7772;3813;9.361379;-73.600913;169
20013;AGUSTÍN CODAZZI;26044;8767;10.040365;-73.237431;70001;SINCELEJO;7662;144112;9.300455;-75.395996;153
20013;AGUSTÍN CODAZZI;26044;8767;10.040365;-73.237431;44855;URUMITA;1890;2262;10.559983;-73.013372;146
20013;AGUSTÍN CODAZZI;26044;8767;10.040365;-73.237431;47288;FUNDACIÓN;32028;22406;10.514851;-74.191555;142
20013;AGUSTÍN CODAZZI;26044;8767;10.040365;-73.237431;47189;CIÉNAGA;36689;10049;11.007433;-74.241368;136
20013;AGUSTÍN CODAZZI;26044;8767;10.040365;-73.237431;8433;MALAMBO;975;13682;10.857597;-74.775158;129
20013;AGUSTÍN CODAZZI;26044;8767;10.040365;-73.237431;47245;EL BANCO;7469;10183;8.998318;-73.979392;127
20013;AGUSTÍN CODAZZI;26044;8767;10.040365;-73.237431;25754;SOACHA;2702;55044;4.576529;-74.215511;122
20013;AGUSTÍN CODAZZI;26044;8767;10.040365;-73.237431;44279;FONSECA;3041;3983;10.886644;-72.850471;120
20013;AGUSTÍN CODAZZI;26044;8767;10.040365;-73.237431;68276;FLORIDABLANCA;871;21226;7.074187;-73.097661;119
20013;AGUSTÍN CODAZZI;26044;8767;10.040365;-73.237431;20443;MANAURE BALCÓN DEL CESAR;2269;3611;10.390748;-73.028834;118
20013;AGUSTÍN CODAZZI;26044;8767;10.040365;-73.237431;44874;VILLANUEVA;6396;2397;10.609113;-72.978728;115
20013;AGUSTÍN CODAZZI;26044;8767;10.040365;-73.237431;44110;EL MOLINO;1014;2109;10.651063;-72.921658;114
20013;AGUSTÍN CODAZZI;26044;8767;10.040365;-73.237431;8638;SABANALARGA;869;3734;10.633833;-74.920625;112
20013;AGUSTÍN CODAZZI;26044;8767;10.040365;-73.237431;47053;ARACATACA;17971;5519;10.590848;-74.186293;111
20013;AGUSTÍN CODAZZI;26044;8767;10.040365;-73.237431;54498;OCAÑA;7697;25596;8.246666;-73.355196;104
20013;AGUSTÍN CODAZZI;26044;8767;10.040365;-73.237431;47555;PLATO;15644;10394;9.793403;-74.783645;101
20013;AGUSTÍN CODAZZI;26044;8767;10.040365;-73.237431;68307;GIRÓN;2012;19227;7.071761;-73.168255;101
41016;AIPE;2514;1370;3.222345;-75.240041;11001;BOGOTÁ, D.C.;7290;536598;4.650528;-74.105972;801
41016;AIPE;2514;1370;3.222345;-75.240041;41001;NEIVA;8289;61885;2.935546;-75.277946;663
41016;AIPE;2514;1370;3.222345;-75.240041;73001;IBAGUÉ;10112;75833;4.439631;-75.19635;124
25019;ALBÁN;591;307;4.877955;-74.438301;25269;FACATATIVÁ;283;6271;4.812242;-74.351015;239
25019;ALBÁN;591;307;4.877955;-74.438301;11001;BOGOTÁ, D.C.;7290;536598;4.650528;-74.105972;160
18029;ALBANIA;4121;1315;1.329034;-75.878652;18001;FLORENCIA;26683;109520;1.617334;-75.60689;1322
18029;ALBANIA;4121;1315;1.329034;-75.878652;11001;BOGOTÁ, D.C.;7290;536598;4.650528;-74.105972;517
18029;ALBANIA;4121;1315;1.329034;-75.878652;41001;NEIVA;8289;61885;2.935546;-75.277946;340
18029;ALBANIA;4121;1315;1.329034;-75.878652;18610;SAN JOSÉ DEL FRAGUA;14195;1789;1.331726;-75.973662;236
18029;ALBANIA;4121;1315;1.329034;-75.878652;41551;PITALITO;8053;29612;1.853056;-76.049263;207
68020;ALBANIA;349;18;5.758995;-73.914063;11001;BOGOTÁ, D.C.;7290;536598;4.650528;-74.105972;189
44035;ALBANIA;1021;2772;11.162711;-72.588756;44430;MAICAO;9495;11363;11.378362;-72.241551;173
44035;ALBANIA;1021;2772;11.162711;-72.588756;44001;RIOHACHA;12215;39130;11.529125;-72.912271;126
5021;ALEJANDRÍA;3293;694;6.375932;-75.141323;5001;MEDELLÍN;41118;373898;6.248941;-75.577056;1388
5021;ALEJANDRÍA;3293;694;6.375932;-75.141323;5088;BELLO;7634;45571;6.333786;-75.554448;286
5021;ALEJANDRÍA;3293;694;6.375932;-75.141323;13001;CARTAGENA DE INDIAS;12945;121634;10.398816;-75.501229;277
5021;ALEJANDRÍA;3293;694;6.375932;-75.141323;23001;MONTERÍA;14282;89511;8.746423;-75.876635;236
47030;ALGARROBO;5787;2092;10.184497;-74.060668;47001;SANTA MARTA;35085;143341;11.225703;-74.188397;1880
47030;ALGARROBO;5787;2092;10.184497;-74.060668;47288;FUNDACIÓN;32028;22406;10.514851;-74.191555;796
47030;ALGARROBO;5787;2092;10.184497;-74.060668;8001;BARRANQUILLA;5939;117739;10.979459;-74.816835;494
